,date,province,confirmed
325,2020-02-08,Daegu,0
326,2020-02-08,Incheon,1
327,2020-02-08,Gwangju,1
328,2020-02-08,Daejeon,0
329,2020-02-08,Ulsan,0
331,2020-02-08,Gyeonggi-do,10
332,2020-02-08,Gangwon-do,0
333,2020-02-08,Chungcheongbuk-do,0
334,2020-02-08,Chungcheongnam-do,0
335,2020-02-08,Jeollabuk-do,1
336,2020-02-08,Jeollanam-do,0
337,2020-02-08,Gyeongsangbuk-do,0
338,2020-02-08,Gyeongsangnam-do,0
339,2020-02-08,Jeju-do,0
340,2020-02-09,Seoul,14
341,2020-02-09,Busan,0
342,2020-02-09,Daegu,0
343,2020-02-09,Incheon,1
344,2020-02-09,Gwangju,1
345,2020-02-09,Daejeon,0
346,2020-02-09,Ulsan,0
348,2020-02-09,Gyeonggi-do,10
349,2020-02-09,Gangwon-do,0
350,2020-02-09,Chungcheongbuk-do,0
351,2020-02-09,Chungcheongnam-do,0
352,2020-02-09,Jeollabuk-do,1
353,2020-02-09,Jeollanam-do,0
354,2020-02-09,Gyeongsangbuk-do,0
355,2020-02-09,Gyeongsangnam-do,0
356,2020-02-09,Jeju-do,0
357,2020-02-10,Seoul,14
358,2020-02-10,Busan,0
359,2020-02-10,Daegu,0
360,2020-02-10,Incheon,1
361,2020-02-10,Gwangju,1
362,2020-02-10,Daejeon,0
363,2020-02-10,Ulsan,0
365,2020-02-10,Gyeonggi-do,10
366,2020-02-10,Gangwon-do,0
367,2020-02-10,Chungcheongbuk-do,0
368,2020-02-10,Chungcheongnam-do,0
369,2020-02-10,Jeollabuk-do,1
370,2020-02-10,Jeollanam-do,0
371,2020-02-10,Gyeongsangbuk-do,0
372,2020-02-10,Gyeongsangnam-do,0
373,2020-02-10,Jeju-do,0
374,2020-02-11,Seoul,14
375,2020-02-11,Busan,0
376,2020-02-11,Daegu,0
377,2020-02-11,Incheon,1
378,2020-02-11,Gwangju,1
379,2020-02-11,Daejeon,0
380,2020-02-11,Ulsan,0
382,2020-02-11,Gyeonggi-do,12
383,2020-02-11,Gangwon-do,0
384,2020-02-11,Chungcheongbuk-do,0
385,2020-02-11,Chungcheongnam-do,0
386,2020-02-11,Jeollabuk-do,1
387,2020-02-11,Jeollanam-do,0
388,2020-02-11,Gyeongsangbuk-do,0
389,2020-02-11,Gyeongsangnam-do,0
390,2020-02-11,Jeju-do,0
391,2020-02-12,Seoul,14
392,2020-02-12,Busan,0
393,2020-02-12,Daegu,0
394,2020-02-12,Incheon,1
395,2020-02-12,Gwangju,1
396,2020-02-12,Daejeon,0
397,2020-02-12,Ulsan,0
399,2020-02-12,Gyeonggi-do,12
400,2020-02-12,Gangwon-do,0
401,2020-02-12,Chungcheongbuk-do,0
402,2020-02-12,Chungcheongnam-do,0
403,2020-02-12,Jeollabuk-do,1
404,2020-02-12,Jeollanam-do,0
405,2020-02-12,Gyeongsangbuk-do,0
406,2020-02-12,Gyeongsangnam-do,0
407,2020-02-12,Jeju-do,0
408,2020-02-13,Seoul,14
409,2020-02-13,Busan,0
410,2020-02-13,Daegu,0
411,2020-02-13,Incheon,1
412,2020-02-13,Gwangju,1
413,2020-02-13,Daejeon,0
414,2020-02-13,Ulsan,0
416,2020-02-13,Gyeonggi-do,12
417,2020-02-13,Gangwon-do,0
418,2020-02-13,Chungcheongbuk-do,0
419,2020-02-13,Chungcheongnam-do,0
420,2020-02-13,Jeollabuk-do,1
421,2020-02-13,Jeollanam-do,0
422,2020-02-13,Gyeongsangbuk-do,0
423,2020-02-13,Gyeongsangnam-do,0
424,2020-02-13,Jeju-do,0
425,2020-02-14,Seoul,14
426,2020-02-14,Busan,0
427,2020-02-14,Daegu,0
428,2020-02-14,Incheon,1
429,2020-02-14,Gwangju,1
430,2020-02-14,Daejeon,0
431,2020-02-14,Ulsan,0
433,2020-02-14,Gyeonggi-do,12
434,2020-02-14,Gangwon-do,0
435,2020-02-14,Chungcheongbuk-do,0
436,2020-02-14,Chungcheongnam-do,0
437,2020-02-14,Jeollabuk-do,1
438,2020-02-14,Jeollanam-do,0
439,2020-02-14,Gyeongsangbuk-do,0
440,2020-02-14,Gyeongsangnam-do,0
441,2020-02-14,Jeju-do,0
442,2020-02-15,Seoul,14
443,2020-02-15,Busan,0
444,2020-02-15,Daegu,0
445,2020-02-15,Incheon,1
446,2020-02-15,Gwangju,1
447,2020-02-15,Daejeon,0
448,2020-02-15,Ulsan,0
450,2020-02-15,Gyeonggi-do,12
451,2020-02-15,Gangwon-do,0
452,2020-02-15,Chungcheongbuk-do,0
453,2020-02-15,Chungcheongnam-do,0
454,2020-02-15,Jeollabuk-do,1
455,2020-02-15,Jeollanam-do,0
456,2020-02-15,Gyeongsangbuk-do,0
457,2020-02-15,Gyeongsangnam-do,0
458,2020-02-15,Jeju-do,0
459,2020-02-16,Seoul,14
460,2020-02-16,Busan,0
461,2020-02-16,Daegu,0
462,2020-02-16,Incheon,1
463,2020-02-16,Gwangju,1
464,2020-02-16,Daejeon,0
465,2020-02-16,Ulsan,0
467,2020-02-16,Gyeonggi-do,12
468,2020-02-16,Gangwon-do,0
469,2020-02-16,Chungcheongbuk-do,0
470,2020-02-16,Chungcheongnam-do,0
471,2020-02-16,Jeollabuk-do,1
472,2020-02-16,Jeollanam-do,0
473,2020-02-16,Gyeongsangbuk-do,0
474,2020-02-16,Gyeongsangnam-do,0
475,2020-02-16,Jeju-do,0
476,2020-02-17,Seoul,14
477,2020-02-17,Busan,0
478,2020-02-17,Daegu,0
479,2020-02-17,Incheon,1
480,2020-02-17,Gwangju,1
481,2020-02-17,Daejeon,0
482,2020-02-17,Ulsan,0
484,2020-02-17,Gyeonggi-do,12
485,2020-02-17,Gangwon-do,0
486,2020-02-17,Chungcheongbuk-do,0
487,2020-02-17,Chungcheongnam-do,0
488,2020-02-17,Jeollabuk-do,1
489,2020-02-17,Jeollanam-do,0
490,2020-02-17,Gyeongsangbuk-do,0
491,2020-02-17,Gyeongsangnam-do,0
492,2020-02-17,Jeju-do,0
493,2020-02-18,Seoul,14
494,2020-02-18,Busan,0
495,2020-02-18,Daegu,1
496,2020-02-18,Incheon,1
497,2020-02-18,Gwangju,1
498,2020-02-18,Daejeon,0
499,2020-02-18,Ulsan,0
501,2020-02-18,Gyeonggi-do,12
502,2020-02-18,Gangwon-do,0
503,2020-02-18,Chungcheongbuk-do,0
504,2020-02-18,Chungcheongnam-do,0
505,2020-02-18,Jeollabuk-do,1
506,2020-02-18,Jeollanam-do,0
507,2020-02-18,Gyeongsangbuk-do,0
508,2020-02-18,Gyeongsangnam-do,0
509,2020-02-18,Jeju-do,0
510,2020-02-19,Seoul,20
511,2020-02-19,Busan,0
512,2020-02-19,Daegu,11
513,2020-02-19,Incheon,2
514,2020-02-19,Gwangju,1
515,2020-02-19,Daejeon,0
516,2020-02-19,Ulsan,0
518,2020-02-19,Gyeonggi-do,12
519,2020-02-19,Gangwon-do,0
520,2020-02-19,Chungcheongbuk-do,0
521,2020-02-19,Chungcheongnam-do,0
522,2020-02-19,Jeollabuk-do,1
523,2020-02-19,Jeollanam-do,0
524,2020-02-19,Gyeongsangbuk-do,2
525,2020-02-19,Gyeongsangnam-do,3
526,2020-02-19,Jeju-do,0
527,2020-02-20,Seoul,22
528,2020-02-20,Busan,8
529,2020-02-20,Daegu,30
530,2020-02-20,Incheon,2
531,2020-02-20,Gwangju,1
532,2020-02-20,Daejeon,0
533,2020-02-20,Ulsan,0
535,2020-02-20,Gyeonggi-do,12
536,2020-02-20,Gangwon-do,0
537,2020-02-20,Chungcheongbuk-do,0
538,2020-02-20,Chungcheongnam-do,0
539,2020-02-20,Jeollabuk-do,1
540,2020-02-20,Jeollanam-do,0
541,2020-02-20,Gyeongsangbuk-do,25
542,2020-02-20,Gyeongsangnam-do,3
543,2020-02-20,Jeju-do,0
544,2020-02-21,Seoul,27
545,2020-02-21,Busan,8
546,2020-02-21,Daegu,110
547,2020-02-21,Incheon,2
548,2020-02-21,Gwangju,3
549,2020-02-21,Daejeon,0
550,2020-02-21,Ulsan,0
552,2020-02-21,Gyeonggi-do,14
553,2020-02-21,Gangwon-do,0
554,2020-02-21,Chungcheongbuk-do,1
555,2020-02-21,Chungcheongnam-do,1
556,2020-02-21,Jeollabuk-do,2
557,2020-02-21,Jeollanam-do,0
558,2020-02-21,Gyeongsangbuk-do,28
559,2020-02-21,Gyeongsangnam-do,7
560,2020-02-21,Jeju-do,1
561,2020-02-22,Seoul,30
562,2020-02-22,Busan,11
563,2020-02-22,Daegu,193
564,2020-02-22,Incheon,2
565,2020-02-22,Gwangju,6
566,2020-02-22,Daejeon,2
567,2020-02-22,Ulsan,1
569,2020-02-22,Gyeonggi-do,20
570,2020-02-22,Gangwon-do,6
571,2020-02-22,Chungcheongbuk-do,3
572,2020-02-22,Chungcheongnam-do,1
573,2020-02-22,Jeollabuk-do,3
574,2020-02-22,Jeollanam-do,1
575,2020-02-22,Gyeongsangbuk-do,145
576,2020-02-22,Gyeongsangnam-do,7
577,2020-02-22,Jeju-do,1
578,2020-02-23,Seoul,31
579,2020-02-23,Busan,19
580,2020-02-23,Daegu,310
581,2020-02-23,Incheon,2
582,2020-02-23,Gwangju,8
583,2020-02-23,Daejeon,3
584,2020-02-23,Ulsan,1
586,2020-02-23,Gyeonggi-do,24
587,2020-02-23,Gangwon-do,6
588,2020-02-23,Chungcheongbuk-do,3
589,2020-02-23,Chungcheongnam-do,1
590,2020-02-23,Jeollabuk-do,3
591,2020-02-23,Jeollanam-do,1
592,2020-02-23,Gyeongsangbuk-do,170
593,2020-02-23,Gyeongsangnam-do,17
594,2020-02-23,Jeju-do,2
595,2020-02-24,Seoul,35
596,2020-02-24,Busan,34
597,2020-02-24,Daegu,483
598,2020-02-24,Incheon,2
599,2020-02-24,Gwangju,9
600,2020-02-24,Daejeon,3
601,2020-02-24,Ulsan,2
603,2020-02-24,Gyeonggi-do,35
604,2020-02-24,Gangwon-do,6
605,2020-02-24,Chungcheongbuk-do,3
606,2020-02-24,Chungcheongnam-do,1
607,2020-02-24,Jeollabuk-do,3
608,2020-02-24,Jeollanam-do,1
